id,type,text1,text2,text3,notes
#WEAPONS,,,,,
uaf_ivory,WEAPON,"Cheaper and smaller medium guns issued by UAF Military, developed as an alternative to the expensive and larger caliber Medlav Cannon Battery.",Assault,,
uaf_medlav_dual,WEAPON,"Issued as UAF Military as a sub-caliber cannon battery on larger ship or the main battery on smaller ship. The cannon features a long range and 4 barrels, providing high enough firepower for most of smaller ship and decent firepower to the biggest of UAF ships.",Assault,,
uaf_medlav_quad,WEAPON,"Issued as UAF Military as a sub-caliber cannon battery on larger ship or the main battery on smaller ship. The cannon features a long range and 2 barrels, providing alternative to the costly quad-barrel version of the same gun.",Assault,,
uaf_20mm_autocannon,WEAPON,"Developed specifically as a primary armament for UAF's fighter wings, this autocannon uses six barrels, operating in a gatling-style manner, which allows extremely high rate of fire.

In comparison to it's Vulcan counterpart, this autocannon has been modified to be fitted straight into the airframe of any aircraft, which makes it a very accurate and reliable weapon.",Anti-Aircraft,,
uaf_pd_reina,WEAPON,The standard issue double-barrel machine gun mounted on most UAF Ship as a point defense with piercing shells.,Point Defense,,
uaf_claris_cn,WEAPON,"The small cannon in UAF Weaponry, can punch through armours even with its small caliber.",Point Defense,,
uaf_weiss_flk,WEAPON,"The main double-barrel anti-missile and anti-fighter defend for most of UAF ships, loaded with exploding flak shells.",Point Defense,,
uaf_weiss_ii_flk,WEAPON,"Medium sized double-barrel flak cannon, functions as an anti-missile and anti-fighter point defense. It is loaded with more fragmentation than the smaller Weiss Flak-Cannon.",Point Defense,,
uaf_weiss_iii_flk,WEAPON,"The largest double-barrel flak cannon within UAF Military arsenal, the cannon shoots out a large shells that explodes into smaller shells with fragmentation explosive within the smaller shell, expanding the point defense area significantly than its smaller similar point defenses.",Point Defense,,
uaf_tona_i,WEAPON,"The modified tona railgun to be used on small mounted weapon turrets, this tona has a slightly lower penetrating capability than the medium variant but with the same speed.",,,
uaf_tona_ii,WEAPON,"Developed as an anti-armour guns, tona is the standard railgun to be used in UAF Fleet, provides a very fast projectile with capability to punch through reinforced armor, also leaves a crack on enemy's shields.",,,
uaf_tona_iii,WEAPON,"Enlarged tona railgun for bigger mounted weapon turrets as anti-armour guns, this enlarged tona has the highest velocity and can house bigger shell, punching through reinforced armor even better than the medium variant.",,,
uaf_cyrexa,WEAPON,"The largest mass-production ballistic capital weaponry in the UAF arsenal, its long range and high destructive capabilities makes it a typical choice for a capital ship.",Strike,,
uaf_cyrexa_triple,WEAPON,"The largest triple-barrel mass-production ballistic capital weaponry in the UAF arsenal, its long range and high destructive capabilities makes it a typical choice for a capital ship.",Strike,,
uaf_cyrexa_single_experimental,WEAPON,"A single-barrel Cyrexa caliber gun, modified to be extremely light while preserving its firepower. The gun was said to be mounted on some kind of experimental fighter and drone",Experimental,,
,,,,,
#WEAPONSMISSILE,,,,,
uaf_clemente_base,WEAPON,A standard issue anti-ship torpedo missile issued by UAF Military to be used on frigate and destroyer ships owned by UAF.,Close Support,,
uaf_clemente_nakiha,WEAPON,Clemente missile built into the ship,Close Support,,
uaf_vocals_swarmer_base,WEAPON,"A launcher for dozens of smaller missiles that homes to the target automatically after being fired. It has a low explosives but make up for it in numbers, especially useful to cover a bigger missile or torpedo by keeping enemy point defenses busy.",,,
uaf_selemene_base_single,WEAPON,Low explosive missile with the capability of heavily disrupting electronics of the impacted ship. The missile has a very low destructive capability and only loaded specially on selected ships within UAF Military.,,,
uaf_rhythm_base_single,WEAPON,"A support long range missile with better target tracking than other similar missiles, it packs a decent amount of explosives and has quite moderate damage. This variant has a single loaded Rhythm missile with 5 missiles replenishments.",,,
uaf_rhythm_base_triple,WEAPON,"A support long range missile with better target tracking than other similar missiles, it packs a decent amount of explosives and has quite moderate damage. This variant can load three Rhythm missiles at once due to bigger racks and can fire faster than the single variant.",,,
uaf_rhythm_base,WEAPON,"A support long range missile with better target tracking than other similar missiles, it packs a decent amount of explosives and has quite moderate damage. This variant can load two Rhythm missile at once in a modified missile turret and can be reloaded from the missile rack automatically.",,,
uaf_exoscar_torpedo_base,WEAPON,"A fast long-range anti capital torpedo with decent tracking, this variant loads just one single-use torpedo.",,,
uaf_exoscar_torpedo_quad,WEAPON,"A fast long range anti capital torpedo with decent tracking, this variant uses special modified turret base which allows for more torpedo storage, as well as automatic reloading from the ship missile racks, increasing the torpedo output quantity.",,,
,,,,,
#SHIPS,,,,,
uaf_nakiha,SHIP,"The Nakiha is the backbone of the Aurora. She was designed to serve as a standard issue midline destroyer, that is capable of maneuvering at flanking speed. Nakiha has seen action in various systems and sectors alike. A nimble yet deadly adversary should the enemy underestimate her.",,,
uaf_ai_nakiha,SHIP,"An experimental variant. This ship have been refitted to accommodate a handful amount of Auroran humanoid artificial intelligence androids. Leaving a lot of space for even more upgrades including the experimental composite carbon nano-materialized armor.

The Nakiha is the backbone of the Aurora. She was designed to serve as a standard issue midline destroyer, that is capable of maneuvering at flanking speed. Nakiha has seen action in various systems and sectors alike. A nimble yet deadly adversary should the enemy underestimate her.",,,
